Ac2O3	Actinium(lll) Oxide	12002-61-8
F4Pt	Platinum Tetrafluoride	13455-15-7
F4Pu	Plutonium Tetrafluoride	13709-56-3
F4S	Sulfur Tetrafluoride	7783-60-0
F4SW	Tungsten Tetrafluoride Monosulfide	41831-80-5
F4Se	Selenium Tetrafluoride	13465-66-2
F4Si	Silicon Tetrafluoride	7783-61-1
F4Sn2	Ditin Tetrafluoride	130950-28-6
F4Ti	Titanium Fluoride	7783-63-3
F4U	Uranium Tetrafluoride	10049-14-6
F4W	Tungsten Tetrafluoride	13766-47-7
F4Xe	Xenon Tetrafluoride	13709-61-0
F4Zr	Zirconium Tetrafluoride	7783-64-4
F5I	Iodine Pentafluoride	7783-66-6
F5Mo	Molybdenum Pentafluoride	13819-84-6
F5ORe	Rhenium Monoxide Pentafluoride	23377-53-9
F5P	Phosphorus Pentafluoride	7647-19-0
F5Pu	Plutonium Pentafluoride	31479-19-3
F5S	Disulfur Decafluoride	10546-01-7
F5Sb	Antimony Pentafluoride	7783-70-2
F5Ta	Tantalum Pentafluoride	7783-71-3
F5U	Uranium Pentafluoride	13775-07-0
F5W	Tungsten Pentafluoride	19357-83-6
F6Fe2	Diiron Hexafluoride	17114-45-3
F6La2	Lanthanum Trifluoride Dimer	12592-31-3
F6Mo	Molybdenum Hexafluoride	7783-77-9
F6NP3	Nitridotriphosphorous Hexafluoride	56564-56-8
F6Os	Osmium Hexafluoride	13768-38-2
F6Pu	Plutonium Hexafluoride	13693-06-6
F6Re	Rhenium Hexafluoride	10049-17-9
F6S	Sulfur Hexafluoride	2551-62-4
F6Se	Selenium Hexafluoride	7783-79-1
F6Si2	Hexafluorodisilane	13830-68-7
F6Sn3	Tritin Hexafluoride	12324-60-6
F6Te	Tellurium Hexafluoride	7783-80-4
F6U	Uranium Hexafluoride	7783-81-5
F6W	Tungsten Hexafluoride	7783-82-6
F6Xe	Xenon Hexafluoride	13693-09-9
F7I	Iodine Fluoride	16921-96-3
F7NS	Pentafluorosulfanyldifluoroamine	13693-10-2
F7Re	Rhenium Heptafluoride	17029-21-9
F8Si3	Octafluorotrisilane	14521-14-3
F10Mo2	Molybdenum Fluoride	65653-18-1
F10S2	Sulfur Fluoride	5714-22-7
F15Mo3	Molybdenum Fluoride	65653-05-6
FeAsS	Iron Arsenic Sulfide|Arsenopyrite	1303-18-0
FeBr2	Iron(ii) Bromide	7789-46-0
FeBr3	Iron(iii) Bromide	10031-26-2
FeBr3 6H2O	Iron(iii) Bromide Hexahydrate	
FeCO3	Siderite	14476-16-5
FeC2O4	Iron Oxalate	15843-42-2
FeC5O5	Iron Pentacarbonyl|Pentacarbonyl Iron	13463-40-6
FeC10H10	Ferrocene	102-54-5
FeCl2	Iron(ii) Chloride	7758-94-3
FeCl3	Iron(iii) Chloride	7705-08-0
FeCr2O4	Chromite (Ore)	1308-31-2
FeF2 4H2O	Iron(ii) Fluoride Tetrahydrate	
FeI	Iron Monoiodide	33019-21-5
FeI2	Iron Diiodide|Iron(ii) Iodide	7783-86-0
FeI2 4H2O	Iron(ii) Iodide Tetrahydrate	
FeI3	Iron(iii) Iodide	15600-49-4
FeMoO4	Iron(ii) Orthomolybdate	
FeO	Iron Monoxide|Iron(ii) Oxide|Wüstite	1345-25-1
FeO2	Iron Dioxide	12411-15-3
FeO2H	Goethite	1310-14-1
FeO2H nH2O	Limonite	1317-63-1
Fe(OH)2	Iron(ii) Hydroxide	18624-44-7
Fe(OH)3	Iron(iii) Hydroxide	11113-66-9
FeO4S	Ferrous Sulfate	7720-78-7
FeO8H4P2	Iron(ii) Dihydrogen Phosphate	
FeP	Iron(iii) Phosphide	26508-33-8
FeS	Iron Sulfide|Iron(ii) Sulfide	1317-96-0
FeS2	Pyrite|Fool's Gold	1309-36-0
FeS2	Iron(iv) Sulfide|Marcasite	12068-85-8
FeSe	Iron(ii) Selenide	1310-32-3
FeTe	Iron(ii) Telluride	12125-63-2
FeTiO3	Iron(ii) Metatitanate	
FeVO4	Iron(iii) Orthovanadate	
FeWO4	Iron(ii) Orthotungstate	
FeZrO3	Iron(ii) Metazirconate	
Fe2I2	Diiron Diiodide	92785-64-3
Fe2I4	Diiron Tetraiodide	92785-63-2
Fe2O3	Iron Oxide|Iron(iii) Oxide|Hematite	1317-60-8
Fe2O3	Venetian Red	8011-97-0
Fe2O12S3	Ferric Sulfate|Iron(iii) Sulfate	10028-22-5
Fe2O12W3	Iron(iii) Orthotungstate	
Fe2P	Diiron Phosphide	1310-43-6
Fe2SiO4	Fayalite	13918-37-1
Fe3H2Na2O45Si	Chrysotile|White Asbestos	12001-28-4
Fe3O4	Iron(ii,iii) Oxide|Magnetite|Triiron(ii, Iii) Tetraoxide	1309-38-2
Fe3P	Iron(tri) Phosphide	12023-53-9
Fe7Si8O24H2	Amosite|Brown Asbestos|Grunerite	12172-73-5
GaAs	Gallium(iii) Arsenide	1303-00-0
GaAsO4	Gallium(iii) Orthoarsenate	
GaBr3	Gallium(iii) Bromide	13450-88-9
Ga(C2H3O2)3	Gallium(iii) Acetate	2571-06-4
GaCl2	Gallium(ii) Chloride	128579-09-9
GaCl3	Gallium Trichloride	13450-90-3
GaI2	Gallium(ii) Iodide	
GaI3	Gallium(iii) Iodide	13450-91-4
GaN	Gallium(iii) Nitride	25617-97-4
Ga(OH)3	Gallium(iii) Hydroxide	12023-99-3
GaPO4	Gallium(iii) Orthophosphate	
GaSb	Gallium(iii) Antimonide	12064-03-8
GaTe	Gallium(ii) Telluride	12024-14-5
Ga2O3	Gallium(iii) Oxide	12024-21-4
Ga2(SO4)3 18H2O	Gallium(iii) Sulfate Octadecahydrate	
Ga2S3	Gallium(iii) Sulfide	12024-22-5
Ga2Te3	Gallium(iii) Telluride	12024-27-0
GeBr4	Germanium(iv) Bromide	13450-92-5
GeH3COOH	2-germaacetic Acid	
GeI2	Germanium(ii) Iodide	13573-08-5
GeI4	Germanium(iv) Iodide	13450-95-8
GeO	Germanium(ii) Oxide	20619-16-3
HAt	Hydrogen Astatide	
HBr	Hydrogen Bromide|Hydrobromic Acid	10035-10-6
HBrO2	Bromous Acid	
HBrO3	Bromic Acid	
HCCH	Acetylene|Ethyne	74-86-2
HCN	Hydrocyanic Acid|Hydrogen Cyanide	6914-07-4
HCONH2	Formamide|Methanamide	75-12-7
HCOO	Formate Ion	71-47-6
HCOOH	Formic Acid|Methanoic Acid	64-18-6
HCOONH4	Ammonium Formate	540-69-2
HCO3	Hydrogen Carbonate Ion	71-52-3
HC3H5O3	Lactic Acid	50-21-5
HC5H5N	Pyridinium Ion	
HC6H7O6	Ascorbic Acid	50-81-7
HC9H7O4	Acetylsalicylic Acid	50-78-2
HC12H17ON4SCl2	Thiamine Hydrochloride|Vitamin B1 Hydrochloride	67-03-8
HCl	Hydrochloric Acid|Hydrogen Chloride	7647-01-0
HClO	Hypochlorous Acid	7790-92-3
HClO2	Chlorous Acid	13898-47-0
HClO3	Chloric Acid	7790-93-4
HClO4	Perchloric Acid	7601-90-3
HF	Hydrofluoric Acid	7664-39-3
HI	Hydroiodic Acid	10034-85-2
HIO	Hypoiodous Acid	14332-21-9
HIO3	Iodic Acid	7782-68-5
HNO	Nitroxyl	14332-28-6
HNO2	Nitrous Acid	7782-77-6
HNO3	Nitric Acid|Hydrogen Nitrate	7697-37-2
HN3	Hydrazoic Acid	7782-79-8
HOBr	Hypobromous Acid	13517-11-8
HOCl	Hypochlorous Acid	7790-92-3
HOF	Hypofluorous Acid	14034-79-8
HOOCCOOH	Oxalic Acid	144-62-7
HPO4	Hydrogen Phosphate Ion	14066-19-4
HSO3	Hydrogen Sulfite Ion	15181-46-1
HSO4	Hydrogen Sulfate	12143-45-2
H2	Hydrogen	1333-74-0
H2C(CH)CN	Acrylonitrile	107-13-1
H2CO	Formaldehyde	19710-56-6
H2CO3	Carbonic Acid	107-32-4
H2CSO	Sulfine	40100-16-1
H2C2O4	Oxalic Acid	144-62-7
H2C4H4O6	Tartaric Acid	87-69-4
H2C8H4O4	Phthalic Acid|H2ph	
H2CrO4	Chromic Acid	7738-94-5
H2NCH2COOH	Glycine	56-40-6
H2N2O2	Hyponitrous Acid	14448-38-5
H2NNH2	Hydrazine	302-01-2
H2O	Water	7732-18-5
H2O2	Hydrogen Peroxide	7722-84-1
H2PO4	Dihydrogen Phosphate Ion	14066-20-7
H2S	Hydrogen Sulfide|Hydrosulfuric Acid	7783-06-4
H2SO3	Sulfurous Acid	7782-99-2
H2SO4	Sulfuric Acid|Hydrogen Sulfate	7664-93-9
H2S2O2	Thiosulfurous Acid	
H2S2O3	Thiosulfuric Acid	13686-28-7
H2S2O4	Dithionous Acid	15959-26-9
H2S2O5	Disulfurous Acid	
H2S2O6	Dithionic Acid	14970-71-9
H2S2O7	Disulfuric Acid	8014-95-7
H2S2O8	Peroxydisulfuric Acid	13445-49-3
H2SeO3	Selenous Acid	7783-00-8
H2SeO4	Selenic Acid	7783-08-6
H2SiO3	Silicic Acid	7699-41-4
H2TeO3	Tellurous Acid	10049-23-7
H2TiO3	Titanic Acid	
H3AsO4	Arsenic Acid	7778-39-4
H3CCH2CH3	Propane	74-98-6
H3NCH2COO	Zwitterion	
H3O	Hydronium Ion	13968-08-6
H3PO2	Hypophosphorous Acid	
H3PO3	Phosphorous Acid	
H3PO4	Phosphoric Acid	7664-38-2
H4XeO6	Perxenic Acid	
H6TeO6	Telluric Acid	7803-68-1
HfBr4	Hafnium(iv) Bromide	13777-22-5
HfF4	Hafnium(iv) Fluoride	13709-52-9
HfOCl2 8H2O	Hafnium(iv) Oxychloride Octahydrate	14456-34-9
HfOH(C2H3O2)3	Hafnium(iv) Acetate, Basic	
Hf(SO4)2	Hafnium(iv) Sulfate	15823-43-5
Hg(BrO3)2 2H2O	Mercury(ii) Bromate Dihydrate	
Hg2Br2	Mercury(i) Bromide	10031-18-2
HgBr2	Mercury(ii) Bromide	7789-47-1
Hg(C2H3O2)2	Mercury(ii) Acetate	1600-27-7
Hg(C7H5O2)2 H2O	Mercury(ii) Benzoate Monohydrate	
HgClO4 4H2O	Mercury(i) Perchlorate Tetrahydrate	
Hg(ClO4)2 3H2O	Mercury(ii) Perchlorate Trihydrate	
HgCl2	Mercury(ii) Chloride	7487-94-7
Hg(IO3)2	Mercury(ii) Iodate	7783-32-6
HgI2	Mercury(ii) Iodide	7774-29-0
Hg(NO3)2 H2O	Mercury(ii) Nitrate Monohydrate	7783-34-8
Hg(CNO)2	Mercury(ii) Fulminate	628-86-4
HgO	Mercury(ii) Oxide	21908-53-2
Hg(OH)2	Mercury(ii) Hydroxide	
HgS	Mercury(ii) Sulfide|Cinnabar	1344-48-5
Hg(SCN)2	Mercury(ii) Thiocyanate	592-85-8
HgSe	Mercury(ii) Selenide	20601-83-6
HgSeO3	Mercury(ii) Selenite	
HgTe	Mercury(ii) Telluride	12068-90-5
HgTeO3	Mercury(ii) Tellurite	
HgWO4	Mercury(ii) Tungstate	
Hg2Br2	Mercury(i) Bromide	15385-58-7
Hg2Cl2	Mercury(i) Chloride	10112-91-1
Hg2I2	Mercury(i) Iodide	15385-57-6
Hg3(AsO4)2	Mercury(ii) Orthoarsenate	
Hg3(PO4)2	Mercury(ii) Phosphate	
IBr	Iodine(i) Bromide	7789-33-5
IBr3	Iodine(iii) Bromide	7789-58-4
ICl	Iodine Monochloride	7790-99-0
ICl3	Iodine(iii) Chloride	865-44-1
IO3	Iodate Ion	15454-31-6
I2	Iodine	7553-56-2
I2O5	Iodine Pentoxide	12029-98-0
I3	Triiodide Ion	14900-04-0
InAs	Indium(iii) Arsenide	1303-11-3
InBr	Indium(i) Bromide	14280-53-6
InBrI2	Indium(iii) Bromodiiodide	
InBr2I	Indium(iii) Dibromoiodide	
InBr3	Indium(iii) Bromide	13465-09-3
InCl	Indium(i) Chloride	13465-10-6
InCl2	Indium(ii) Chloride	
InCl3	Indium(iii) Chloride	10025-82-8
InCl3 4H2O	Indium(iii) Chloride Tetrahydrate	22519-64-8
InI	Indium(i) Iodide	13966-94-4
In(IO3)3	Indium(iii) Iodate	
InI2	Indium(ii) Iodide	
InI3	Indium(iii) Iodide	13510-35-5
In(NO3)3 4.5H2O	Indium(iii) Nitrate Tetrahemihydrate	
In(OH)3	Indium(iii) Hydroxide	20661-21-6
InP	Indium(iii) Phosphide	22398-80-7
InPO4	Indium(iii) Orthophosphate	
InS	Indium(ii) Sulfide	12030-14-7
InSb	Indium(iii) Antimonide	1312-41-0
InTe	Indium(ii) Telluride	12030-19-2
In2O3	Indium(iii) Oxide	1312-43-2
In2(SO4)3 H2O	Indium(iii) Sulfate Monohydrate	304655-87-6
In2S3	Indium(iii) Sulfide	12030-24-9
In2Se3	Indium(iii) Selenide	12056-07-4
In2Te3	Indium(iii) Telluride	1312-45-4
KBr	Potassium Bromide	7758-02-3
KCN	Potassium Cyanide	151-50-8
KCNS	Potassium Thiocyanate	333-20-0
KCl	Potassium Chloride	7447-40-7
KClO	Potassium Hypochlorite	7778-66-7
KClO2	Potassium Chlorite	14314-27-3
KClO3	Potassium Chlorate	3811-04-9
KClO4	Potassium Perchlorate	7778-74-7
K2CrO4	Potassium Chromate	7789-00-6
K2Cr2O7	Potassium Dichromate	7778-50-9
K2HPO4	Dipotassium Phosphate	
K3PO4	Tripotassium Phosphate	
KF	Potassium Fluoride	13455-21-1
KHCO3	Potassium Bicarbonate	298-14-6
KHSO3	Potassium Bisulfite	7773-03-7
KHSO4	Potassium Bisulfate	7646-93-7
KH2PO4	Monopotassium Phosphate	
KI	Potassium Iodide	7681-11-0
KMnO4	Potassium Permanganate	7722-64-7
KNO3	Potassium Nitrate	7757-79-1
KNO2	Potassium Nitrite	7758-09-0
K2CO3	Potassium Carbonate	584-08-7
K2MnO4	Potassium Manganate	10294-64-1
K2N2O2	Potassium Hyponitrite	
K2O	Potassium Oxide	12136-45-7
K2O2	Potassium Peroxide	17014-71-0
K2S	Potassium Sulfide	1312-73-8
K2S2O3	Potassium Thiosulfate	10294-66-3
K2S2O5	Potassium Metabisulfite	16731-55-8
K2S2O8	Potassium Persulfate	7727-21-1
K2SO3	Potassium Sulfite	16731-55-8
K2SO4	Potassium Sulfate	7778-80-5
KOH	Potassium Hydroxide/custic Potash	1310-58-3
KrF2	Krypton Difluoride	13773-81-4
LaCl3	Lanthanum(iii) Chloride	10099-58-8
LaPO4	Lanthanum(iii) Phosphate	14913-14-5
LaPO4 0.5H2O	Lanthanum(iii) Phosphate Crystal Hemihydrate	
Li(AlSi2O6)	Keatite	
LiBr	Lithium Bromide	7550-35-8
LiBr 2H2O	Lithium Bromide Dihydrate	
LiBrO3	Lithium Bromate	13550-28-2
LiCl	Lithium Chloride	7447-41-8
LiClO	Lithium Hypochlorite	13840-33-0
LiClO2	Lithium Chlorite	
LiClO3	Lithium Chlorate	13453-71-9
LiClO4	Lithium Perchlorate	7791-03-9
LiCN	Lithium Cyanide	2408-36-8
LiC2H5O	Lithium Ethoxide	2388-07-0
LiF	Lithium Fluoride	7789-24-4
LiI	Lithium Iodide	10377-51-2
LiHCO3	Lithium Bicarbonate	5006-97-3
LiHSO3	Lithium Bisulfite	
LiHSO4	Lithium Hydrogen Sulfate	13453-86-6
LiIO3	Lithium Iodate	13765-03-2
LiNa	Sodium Lithium	
LiNO2	Lithium Nitrite	13568-33-7
LiNO3	Lithium Nitrate	7790-69-4
LiNO3 H2O	Lithium Nitrate Monohydrate	
LiOH	Lithium Hydroxide	1310-65-2
LiTaO3	Lithium Tantalate|Lithium Metatantalate	12031-66-2
LiVO3 2H2O	Lithium Metavanadate Dihydrate	
Li2B4O7 5H2O	Lithium Tetraborate Pentahydrate	1303-94-2
Li2CO3	Lithium Carbonate	554-13-2
Li2CrO4	Lithium Chromate	14307-35-8
Li2CrO4 2H2O	Lithium Chromate Dihydrate	7789-01-7
Li2Cr2O7	Lithium Dichromate	13843-81-7
Li2MoO4	Lithium Orthomolybdate	13568-40-6
Li2NbO3	Lithium Metaniobate	12031-63-9
Li2N2O2	Lithium Hyponitrite	
Li2O	Lithium Oxide	12057-24-8
Li2O2	Lithium Peroxide	12031-80-0
Li2S	Lithium Sulfide	12136-58-2
Li2SO3	Lithium Sulfite	13453-87-7
Li2SO4	Lithium Sulfate	10377-48-7
Li2SeO3	Lithium Selenite	15593-51-8
Li2SeO4	Lithium Selenate	15593-52-9
Li2SiO3	Lithium Metasilicate	10102-24-6
Li2SiO3	Lithium Orthosilicate	63985-45-5
Li2TeO3	Lithium Tellurite	14929-69-2
Li2TeO4	Lithium Tellurate	15851-53-3
Li2TiO3	Lithium Metatitanate	12031-82-2
Li2WO4	Lithium Orthotungstate	13568-45-1
Li2ZrO3	Lithium Metazirconate	
MgBr2	Magnesium Bromide	7789-48-2
Mg(AlO2)2	Magnesium Aluminate	12068-51-8
As2Mg3	Magnesium Arsenide	12044-49-4
MgCO3	Magnesium Carbonate|Magnesite	546-93-0
MgC2O4	Magnesium Oxalate	547-66-0
Mg(ClO)2	Magnesium Hypochlorite	10233-03-1
Mg(ClO3)2	Magnesium Chlorate	10326-21-3
Mg(ClO3)2 xH2O	Magnesium Chlorate Hydrate	
Mg(ClO4)2	Magnesium Perchlorate	10034-81-8
MgCl2	Magnesium Chloride	7786-30-3
MgCrO4	Magnesium Chromate	13423-61-5
MgCrO4 5H2O	Magnesium Chromate Pentahydrate	
MgF2	Magnesium Fluoride	7783-40-6
MgI2	Magnesium Iodide	10377-58-9
MgMoO4	Magnesium Molybdate	13767-03-8
MgNH4PO4 6H2O	Magnesium Ammonium Phosphate Hexahydrate	15490-91-2
Mg(NO2)2	Magnesium Nitrite	
Mg(NO3)2	Magnesium Nitrate	10377-60-3
Mg(NO3)2 6H2O	Magnesium Nitrate Hexahydrate	13446-18-9
MgNaAl5(Si4O10)3(OH)6	Montmorillonite (Clay)	1318-93-0
MgO	Magnesium Oxide|Magnesia|Periclase	1309-48-4
Mg(OH)2	Magnesium Hydroxide|Milk Of Magnesia	1309-42-8
MgPo	Magnesium Polonide	
MgS	Magnesium Sulfide	12032-36-9
MgSO3	Magnesium Sulfite	7757-88-2
MgSO4	Magnesium Sulfate	7487-88-9
MgSe	Magnesium Selenide	1313-04-8
MgSeO3	Magnesium Selenite	15593-61-0
MgSeO4	Magnesium Selenate	14986-91-5
MgSiO3	Magnesium Metasilicate|Enstatite	13776-74-4
MgTiO3	Magnesium Metatitanate	12032-30-3
Mg(VO3)2	Magnesium Metavanadate	
MgWO4	Magnesium Tungstate	13573-11-0
Mg2Al(AlSiO5)(OH)4	Amesite	
Mg2P2O7	Magnesium Pyrophosphate	13446-24-7
Mg2SiO4	Forsterite	10034-94-3
Mg3As2	Magnesium Arsenide	12044-49-4
Mg3Bi2	Magnesium Bismuthide	12048-46-3
Mg3P2	Magnesium Phosphide	12057-74-8
Mg3(Si2O5)(OH)4	Chrysotile	12001-29-5
Mg3(Si4O10)(OH)2	Talc	14807-96-6
Mg3(VO4)2	Magnesium Orthovanadate	
MnAs	Manganese(iii) Arsenide	
MnBi	Manganese(iii) Bismuthide	
MnBr2	Manganese(ii) Bromide	13446-03-2
MnBr2 4H2O	Manganese(ii) Bromide Tetrahydrate	10031-20-6
Mn(CHO2)2	Manganese(ii) Formate	3251-96-5
Mn(CHO2)2 2H2O	Manganese(ii) Formate Dihydrate	4247-36-3
MnCO3	Manganese(ii) Carbonate	598-62-9
MnCl2	Manganese(ii) Chloride	7773-01-5
MnF2	Manganese(ii) Fluoride	7782-64-1
MnI2	Manganese(ii) Iodide	7790-33-2
MnMoO4	Manganese(ii) Orthomolybdate	
Mn(NO3)2	Manganese(ii) Nitrate	10377-66-9
Mn(NO3)2 4H2O	Manganese(ii) Nitrate Tetrahydrate	20694-39-7
MnO	Manganese(ii) Oxide	1344-43-0
Mn(OH)2	Manganese Hydroxide	1310-97-0
MnOOH	Manganite	1310-98-1
MnO2	Manganese Dioxide|Pyrolusite	1313-13-9
MnO4	Permanganate Ion	14333-13-2
MnPb8(Si2O7)3	Barysilate	
MnS	Manganese Sulfide	18820-29-6
MnTe	Manganese(ii) Telluride	12032-88-1
MnZrO3	Manganese(ii) Metazirconate	
Mn2O3	Manganese(iii) Oxide	1317-34-6
Mn3As2	Manganese(ii) Arsenide	
Mn3O4	Manganese(ii,iii) Oxide|Trimanganese Tetroxide|Hausmannite	1317-35-7
Mn3P2	Manganese(ii) Phosphide	
Mn3Sb2	Manganese(ii) Antimonide	
MoBr2	Molybdenum(ii) Bromide	13446-56-5
MoBr3	Molybdenum(iii) Bromide	13446-57-6
MoCl2	Molybdenum(ii) Chloride	13478-17-6
MoCl3	Molybdenum(iii) Chloride	13478-18-7
MoCl5	Molybdenum(v) Chloride	10241-05-1
MoO2	Molybdenum(iv) Oxide	18868-43-4
MoO4	Molybdate Ion	14259-85-9
MoS2	Molybdenum Sulfide|Molybdenum Disulfide|Molybdenite	1317-33-5
NH2	Amide Ion	17655-31-1
NH2CH2CH2NH2	Ethylenediamine	107-15-3
NH2CONH2	Urea	57-13-6
NH2C6H4SO3H	Sulfanilic Acid	121-57-3
NH2OH	Hydroxylamine	7803-49-8
(NH2)2CO	Urea	57-13-6
NH3	Ammonia	7664-41-7
NH4	Ammonium Ion	14798-03-9
(NH4)3N	Ammonium Nitride	
NH4Br	Ammonium Bromide	12124-97-9
NH4CO2NH2	Ammonium Carbamate	1111-78-0
(NH4)2CO3	Ammonium Carbonate	506-87-6
NH4Cl	Ammonium Chloride	12125-02-9
NH4ClO4	Ammonium Perchlorate	7790-98-9
NH4HS	Ammonium Hydrosulfide	12124-99-1
(NH4)H2AsO4	Ammonium Dihydrogen Arsenate	13462-93-6
NH4NO3	Ammonium Nitrate	6484-52-2
NH4OCONH2	Ammonium Carbamate	1111-78-0
(NH4)2Ce(NO3)6	Ammonium Cerium(iv) Nitrate|Ceric Ammonium Nitrate|Can	16774-21-3
(NH4)3PO4	Ammonium Phosphate	7783-28-0
(NH4)2CrO4	Ammonium Chromate	7788-98-9
(NH4)2Hg(SCN)4	Mercury(ii) Ammonium Thiocyanate	
(NH4)2(PtCl6)	Ammonium Hexachloroplatinate(iv)	16919-58-7
(NH4)2(Pt(SCN)6)	Ammonium Hexathiocyanoplatinate(iv)	19372-45-3
(NH4)2SO4	Ammonium Sulfate	7783-20-2
NI3	Nitrogen Triiodide	13444-85-4
NO	Nitric Oxide|Nitrogen Oxide|Nitrogen(ii) Oxide	10102-43-9
NOCl	Nitrosyl Chloride	
NOBr	Nitrosyl Bromide	
NOI	Nitrosyl Iodide	
NO2	Nitrogen Dioxide|Nitrogen(iv) Oxide	10102-44-0
NO2	Nitrite Ion	14797-65-0
NO2Cl	Nitryl Chloride	13444-90-1
NO3	Nitrate Ion	14797-55-8
N2	Nitrogen	7727-37-9
N2H2	Diazene	3618-05-1
N2H4	Hydrazine	302-01-2
N2O	Nitrous Oxide|Dinitrogen Oxide|Nitrogen(i) Oxide	10024-97-2
N2O3	Dinitrogen Trioxide|Nitrogen(iii) Oxide	10544-73-7
N2O4	Dinitrogen Tetroxide|Nitrogen(iv) Oxide	10544-72-6
N2O5	Dinitrogen Pentaoxide|Nitrogen(v) Oxide	10102-03-1
N4H4	Trans-tetrazene	54410-57-0
NaAlSi3O3	Albite	
NaAsO2	Sodium Metaarsenite	7784-46-5
NaAu(CN)2	Sodium Dicyanoaurate(i)	15280-09-8
Na2Cr2O7 2H2O	Sodium Dichromate Dihydrate	10588-01-9
Na(B(NO3)4)	Sodium Tetranitratoborate(iii)	
NaBr	Sodium Bromide	7647-15-6
NaCN	Sodium Cyanide	143-33-9
NaC6F5COO	Pentafluorobenzoate	
NaC6H5COO	Sodium Benzoate	532-32-1
NaCa2(Al5Si5O20) 6H2O	Thomsonite	
NaCl	Sodium Chloride|Rock-salt|Halite	7647-14-5
NaClO2	Sodium Chlorite	7758-19-2
NaClO3	Sodium Chlorate	7775-09-9
NaClO4	Sodium Perchlorate	7601-89-0
NaF	Sodium Fluoride	7681-49-4
NaH	Sodium Hydride	7646-69-7
NaHCOO	Sodium Formate	141-53-7
NaHCO3	Sodium Bicarbonate|Baking Soda	144-55-8
NaHSO3	Sodium Bisulfite	7631-90-5
NaHSO4	Sodium Bisulfate	7681-38-1
NaI	Sodium Iodide	7681-82-5
NaNH2C6H4SO3	Sodium Sulfanilate	515-74-2
NaNO2	Sodium Nitrite	7632-00-0
NaNO3	Sodium Nitrate	7631-99-4
NaNbO3	Sodium Metaniobate	
NaNbO3 7H2O	Sodium Metaniobate Heptahydrate	
NaOCl	Sodium Hypochlorite	7681-52-9
NaOH	Sodium Hydroxide	1310-73-2
NaO2As(CH3)2 3H2O	Sodium Salt Of Cacodylic Acid	124-65-2
NaSeO3	Sodium Selenite	
NaTaO3	Sodium Metatantalate	
NaVO3	Sodium Metavanadate	13718-26-8
Na2CO3	Sodium Carbonate|Soda Ash	497-19-8
Na2C2O4	Sodium Oxalate	62-76-0
Na2MoS4	Sodium Thiomolybdate	18198-15-7
Na2N2O2	Sodium Hyponitrite	
Na2O2	Sodium Peroxide	1313-60-6
Na2O	Sodium Oxide	1313-59-3
Na2S	Sodium Monosulfide	1313-82-2
Na2SO3	Sodium Sulfite	7757-83-7
Na2SO4	Sodium Sulfate|Salt Cake	7757-82-6
Na2S2O3	Sodium Thiosulfate	7772-98-7
Na2S2O5	Sodium Disulfite	7681-57-4
Na2S2O8	Sodium Persulfate	7775-27-1
Na2S4	Sodium Tetrasulfide	12034-39-8
Na2SeO3	Sodium Selenite	10102-18-8
Na2SeO4	Sodium Selenate	13410-01-0
Na2TeO3	Sodium Tellurite	10102-20-2
Na2TeO4	Sodium Tellurate	
Na2TiO3	Sodium Metatitanate	
Na2ZnO2	Sodium Zincate	37224-32-1
Na2ZrO3	Sodium Metazirconate	
Na3AlF6	Cryolite	15096-52-3
Na3(Co(CO3)3)	Sodium Tricarbonatocobaltate(iii)	
Na3VO4	Sodium Orthovanadate	13721-39-6
Na4V2O7	Sodium Pyrovanadate	13517-26-5
NbBr5	Niobium(v) Bromide	13478-45-0
NbCl3	Niobium(iii) Chloride	13569-59-0
NbCl5	Niobium(v) Chloride	10026-12-7
NbI5	Niobium(v) Iodide	13779-92-5
Nb2O3	Niobium(iii) Oxide	
NdCl2	Neodymium(ii) Chloride|Neodymium Dichloride	25469-93-6
NdI2	Neodymium(iii) Iodide|Neodymium Diiodide	61393-36-0
Nd(OH)3	Neodymium Hydroxide	16469-17-3
Nd2O3	Neodymium(iii) Oxide|Dineodymium Trioxide	1313-97-9
NiAs	Nickel(iii) Arsenide	27016-75-7
NiAsS	Nickel Arsenic Sulfide|Gersdorffite	12255-10-6
NiBr2	Nickel(ii) Bromide	13462-88-9
NiBr2 3H2O	Nickel(ii) Bromide Trihydrate	7789-49-3
NiBr2 6H2O	Nickel(ii) Bromide Hexahydrate	
Ni(CO)3	Nickel(ii) Carbonate	
Ni(CO)4	Nickel Tetracarbonyl	13463-39-3
NiC2O4 2H2O	Nickel(ii) Oxalate Dihydrate	6018-94-6
NiCl2	Nickel(ii) Chloride	7718-54-9
NiFe2O4	Nickel(ii) Iron(iii) Oxide	
NiI2	Nickel(ii) Iodide	13462-90-3
Ni(H2PO)2 6H2O	Nickel(ii) Hypophosphite Hexahydrate	
NiMoO4	Nickel(ii) Orthomolybdate	
Ni(NO3)2 6H2O	Nickel(ii) Nitrate Hexahydrate	13478-00-7
NiOOH	Nickel Oxo-hydroxide	
NiO	Nickel(ii) Oxide	1313-99-1
Ni(OH)2	Nickel(ii) Hydroxide	12054-48-7
NiS	Nickel(ii) Sulfide|Millerite	16812-54-7
NiSO4	Nickel Sulfate	7786-81-4
NiS2	Nickel Sulfide	12035-51-7
NiSe	Nickel(ii) Selenide	12201-85-3
